핵심 강좌,Core class
저는 정장이 있어요. 하지만 넥타이는 없어,I have a suit.  But there is no tie
요.,yo. this.
남자아이는 계란이 있어요. 그리고 계란을 먹,The boy has eggs.  And he eats eggs
어요.,Oh.
남자아이는 계란이 있어요. 하지만 계란을 안,The boy has eggs.  But I didn't do eggs
먹어요.,eat.
여자아이는 책이 있어요. 그리고 책을 읽어,The girl has a book.  And she reads a book
요.,yo. this.
여자아이는 책이 있어요. 하지만 책을 안 읽,The girl has a book.  But she doesn't read a book
어요.,Oh.
양말하고 신발을 신었어요?,Did you wear socks and shoes?
양말은 신었어요. 하지만 신발은 안 신었어,I wore socks.  But I didn't wear shoes
요.,yo. this.
코트하고 모자가 있으세요?,Do you have a coat and hats?
코트는 있어요. 하지만 모자는 없어요.,There is a coat.  But there is no hat.
남자는 자기 전에 책을 읽어요.,The man reads a book before going to bed.
여자는 점심을 먹은 후에 책을 읽어요.,The woman reads a book after lunch.
남자는 일을 하기 전에 커피를 마셔요.,The man drinks coffee before working.
남자하고 여자는 저녁을 먹은 후에 커피를 마,Men and women don't have coffee after dinner
셔요.,She.
언제 아침을 드세요?,When do you have breakfast?
일을 하기 전에 아침을 먹어요.,I have breakfast before I work.
언제 저녁을 드세요?,When do you have dinner?
일을 한 후에 저녁을 먹어요.,After working, I have dinner.
. 계속,.  continue
계란 열세 개,Thirteenth
십삼,Thirteen
컵 열네 개,Twelve cups
십사,fourteen
넥타이 열다섯 개,Fifteen ties
십오,fifteen
허리띠 열여섯 개,Sixteen
십육,Tennis
접시 열일곱 개,Seventeen
십칠,seventeen
공 열여덟 개,Eight
십팔,eighteen
꽃 열아홉 송이,Nineteen
십구,nineteen
책 스무 권,Book
이십,Twenty
십사는 십삼 후에 와요.,Ten of the thousands come after three hundred and three.
십오는 십사 후에 와요.,Fifteen come after ten sesame seeds.
십구는 이십 전에 와요.,Nineteen comes twenty years ago.
십오는 십육 전에 와요.,Fifteen come before the sixth.
십칠은 십육 후에 와요.,Ten seven sees come after ten flesh.
십칠은 십팔 전에 와요.,Ten seven is about eighteenth before.
십사는 십삼 후에 와요.,Ten of the thousands come after three hundred and three.
몇 살이에요?,How old are you?
열네 살이에요.,I'm four years old.
몇 살이에요?,How old are you?
열아홉 살이에요.,I'm nineteen years old.
안녕하세요?,hello?
안녕하세요?,hello?
안녕하세요?,hello?
안녕하세요? 어떻게 지내세요?,hello?  how are you doing?
잘 지내요.,I'm doing great.
안녕하세요?,hello?
안녕하세요?,hello?
안녕하세요?,hello?
안녕하세요?,hello?
어떻게 지내세요?,how are you doing?
잘 지내요.,I'm doing great.
안녕히 가세요.,goodbye.
안녕히 가세요.,goodbye.
안녕하세요?,hello?
저는 댄 파커예요.,I'm Dan Parker.
이분은 제인 테일러 씨예요.,This is Jane Taylor.
이건 제인 테일러 씨의 책이에요.,This is Jane Taylor's book.
안녕하세요, 제인 테일러 씨? 어떻게 지내세,Hello, Jane Taylor?  How to do
요?,yo. this?
잘 지내요.,I'm doing great.
언제 책을 쓰세요?,When do you write a book?
아침하고 저녁에 책을 써요.,I write a book in the morning and in the evening.
오후에 뭐 하세요?,What do you do in the afternoon?
저희 아들하고 같이 놀아요.,Play with my son.
어디에서 책을 쓰세요?,Where do you write a book?
아침에는 공원에서 써요.,I write in the park in the morning.
저녁에는 거실에서 써요.,I write in the living room in the evening.
. 핵심 강좌,.  Core class
칠 일,Seventy days
삼 일,Three days
사 일,Day
한 주는 칠 일이에요.,One week is seven days.
한 달은 사 주예요.,A month is a week.
일 년은 열두 달이에요.,One year is twelve months.
한 주,One week
한 달,one month
일 년,one year
오늘은 금요일이에요.,Today is Friday.
오늘은 토요일이에요.,Today is Saturday.
오늘은 일요일이에요.,Today is Sunday.
오늘은 금요일이에요. 저는 일을 해요.,Today is Friday.  I work.
오늘은 토요일이에요. 저는 달려요.,Today is Saturday.  I run.
오늘은 일요일이에요. 저는 텔레비전을 봐요.,Today is Sunday.  I look at television.
오늘은 일요일이에요. 저희는 공원에서 걸어,Today is Sunday.  We walk in the park
요.,yo. this.
오늘은 월요일이에요. 저희는 점심을 먹어요.,Today is Monday.  We have lunch.
오늘은 화요일이에요. 저는 물고기를 사요.,Today is Tuesday.  I buy fish.
오늘은 수요일이에요. 저는 책을 읽어요.,Today is Wednesday.  I read a book.
오늘은 목요일이에요. 저는 라디오를 들어요.,Today is Thursday.  I listen to the radio.
오늘은 금요일이에요. 남자들이 공원에 있어,Today is Friday.  Men are in the park
요.,yo. this.
오늘은 토요일이에요. 남자가 수영을 해요.,Today is Saturday.  The man swims.
월요일,monday
화요일,Tuesday
수요일,Wednesday
목요일,thursday
금요일,Friday
토요일,Saturday
일요일,Sunday
월요일,monday
화요일,Tuesday
수요일,Wednesday
목요일,thursday
금요일,Friday
토요일,Saturday
일요일,Sunday
여자아이들이 게임을 해요.,Girls play games.
아버지하고 아들들이 축구를 해요.,Father and sons play soccer.
남자아이들이 게임을 해요.,Boys play games.
여자아이들이 게임을 해요.,Girls play games.
남자아이들이 게임을 해요.,Boys play games.
남자아이가 축구를 해요.,The boy plays soccer.
아버지가 축구를 해요. 남자아이는 축구를 안,My father plays soccer.  The boy doesn't play soccer
해요.,do.
부모님이 아이들하고 같이 게임을 해요.,My parents play games with their children.
여자아이가 친구들하고 같이 빵을 먹어요.,The girl eats bread with her friends.
여자아이가 할아버지하고 같이 책을 읽어요.,The girl reads a book with her grandfather.
남자아이가 친구들하고 같이 수영을 해요.,The boy swims with his friends.
누구하고 같이 점심을 드세요?,Who do you have lunch with you?
여동생하고 같이 먹어요.,I eat with my sister.
누구하고 같이 저녁을 드세요?,Who do you have dinner with?
남편하고 같이 먹어요.,I eat with my husband.
남자아이가 할머니를 만나러 왔어요.,The boy came to see her grandmother.
여자아이가 친구를 만나러 왔어요.,The girl came to meet a friend.
여자가 파리에 놀러 왔어요.,The woman came to Paris.
남자가 모스크바에 놀러 왔어요.,The man came to Moscow.
뭐 해요?,what are you doing?
여동생하고 같이 게임을 해요.,I play the game with my sister.
뭐 해요?,what are you doing?
할머니를 만나러 왔어요.,I came to see my grandmother.
제 친구들을 만나러 왔어요.,I came to see my friends.
가족이 로마에 놀러 왔어요.,The family came to Rome.
남편하고 아내가 베이징에 놀러 왔어요.,My husband and my wife came to Beijing.
남자아이가 할아버지를 만나러 왔어요.,The boy came to see his grandfather.
. 계속,.  continue
저희 가족이에요.,It's my family.
저희 집이에요.,It's my house.
저희 손님들이에요.,Our guests.
저희 가족이에요.,It's my family.
저희 집이에요.,It's my house.
저희 손님들이에요.,Our guests.
이분들은 손님들이에요.,These are guests.
저는 일을 해요. 손님이 아니에요.,I work.  I'm not a guest.
남자는 손님이에요.,Men are guests.
저희 손님들이에요.,Our guests.
저희 손님들이 거실에 앉아 있어요.,Our guests are sitting in the living room.
저희는 손님들하고 같이 저녁을 먹어요.,We have dinner with our guests.
저희는 손님들하고 같이 게임을 해요.,We play games with our guests.
어서 오세요.,welcome.
어서 오세요.,welcome.
어서 오세요.,welcome.
어서 오세요.,welcome.
감사합니다.,thank you.
어서 오세요.,welcome.
감사합니다.,thank you.
안녕하세요?,hello?
안녕하세요?,hello?
어느 나라 사람이세요?,What country are you from?
러시아 사람이에요.,Russians.
어서 오세요.,welcome.
감사합니다.,thank you.
손님들이에요.,They are guests.
안녕하세요?,hello?
어서 오세요.,welcome.
감사합니다.,thank you.
여자가 커피 냄새를 맡아요.,The woman smells coffee.
남자가 꽃 냄새를 맡아요.,The man smells flower.
여자가 밥 맛을 봐요.,The woman tastes rice.
사람들이 빵 맛을 봐요.,People taste bread.
빵 맛이 좋아요.,The bread tastes good.
우유 맛이 안 좋아요.,Milk tastes bad.
꽃 냄새가 좋아요.,The smell of flowers is good.
양말 냄새가 안 좋아요.,The smell of socks is not good.
여자가 빵 맛을 봐요.,The woman tastes bread.
사과 맛이 좋아요.,The apple taste is good.
커피 맛이 안 좋아요.,The coffee tastes bad.
남자가 우유 냄새를 맡아요.,The man smells milk.
꽃 냄새가 좋아요.,The smell of flowers is good.
물고기 냄새가 안 좋아요.,The smell of fish is not good.
남자가 우유 냄새를 맡아요.,The man smells milk.
우유 냄새가 안 좋아요.,The smell of milk is not good.
여자들이 밥 맛을 봐요.,The women taste rice.
밥 맛이 좋아요.,The rice tastes good.
냄새가 안 좋아요.,It smells bad.
냄새가 좋아요.,It smells good.
맛이 안 좋아요.,It tastes bad.
맛이 좋아요.,It tastes good.
손가락 네 개,Four fingers
손 세 개,Three
발가락 열 개,Ten
발 한 개,Dog
손,hand
손가락,finger
발,foot
발가락,toes
발이 풀 위에 있어요.,The feet are on the grass.
발가락이 물 안에 있어요.,The toes are in the water.
손이 창문에 있어요.,The hand is on the window.
손가락이 탁자 위에 있어요.,My finger is on the table.
봄,spring
여름,summer
가을,autumn
겨울,winter
겨울 집,Winter house
봄 공원,Spring park
여름 도시,Summer city
가을 나무,Autumn
겨울이에요.,It's winter.
봄이에요.,It's spring.
여름이에요.,It's summer.
가을이에요.,It's autumn.
겨울에 저희 집에 오세요.,Come to my house in winter.
여름에 저희 집에 오세요.,Come to my house in summer.
이게 제 겨울 모자예요.,This is my winter hat.
이게 제 여름 모자예요.,This is my summer hat.
안녕하세요? 제 이름은 데이비드 브라운이에,hello?  My name is David Brown
요.,yo. this.
제 이름은 마이클 레비예요.,My name is Michael Levi.
만나서 반갑습니다.,Nice to meet you.
어디에 사세요?,Where do you live?
빨간색 집에 살아요.,I live in a red house.
어디에서 일을 하세요?,Where do you work?
식당에서 일을 해요.,I work in a restaurant.
언제 일을 하세요?,When do you work?
월요일, 화요일, 목요일에 일을 해요.,I work on Monday, Tuesday and Thursday.
안녕하세요?,hello?
안녕하세요?,hello?
아들이 몇 살이에요?,How old is your son?
두 살이에요.,I'm two years old.
. 핵심 강좌,.  Core class
남자가 편지를 써요.,The man writes a letter.
여자가 신문을 읽어요.,The woman reads the newspaper.
남자가 말을 해요.,The man speaks.
여자가 말을 해요.,The woman speaks.
남자가 중국어 신문을 읽어요.,The man reads the Chinese newspaper.
여자가 영어를 읽어요.,The woman read English.
남자아이가 아랍어를 써요.,The boy writes Arabic.
여자아이가 한글을 써요.,The girl writes Hangul.
남자가 아랍어를 써요.,The man writes Arabic.
남자가 아랍어 신문을 읽어요.,The man reads the Arabic newspaper.
남자가 아랍어로 말을 해요.,The man speaks in Arabic.
여자가 중국어를 써요.,A woman speaks Chinese.
여자가 중국어 신문을 읽어요.,A woman reads a Chinese newspaper.
여자가 중국어로 말을 해요.,The woman speaks in Chinese.
여자아이가 영어로 말을 해요.,The girl speaks in English.
남자아이가 한국어로 말을 해요.,The boy speaks in Korean.
남자가 영어로 말을 해요.,The man speaks in English.
여자가 한국어로 말을 해요.,The woman speaks in Korean.
남자가 한글을 써요.,The man writes Hangul.
남자가 한글을 읽어요.,The man reads Hangul.
남자가 한국어로 말을 해요.,The man speaks in Korean.
저는 중국어 신문을 읽어요.,I read a Chinese newspaper.
저는 중국어를 써요.,I write Chinese.
저는 한글을 읽어요.,I read Hangul.
저는 한글을 써요.,I write Hangul.
남자는 호주 사람이에요.,Men are Australians.
여자는 러시아 사람이에요.,Women are Russians.
여자아이는 일본 사람이에요.,Girls are Japanese.
남자아이는 한국 사람이에요.,The boy is Korean.
개, 고양이, 말은 동물이에요.,Dogs, cats, horses are animals.
남자, 여자, 여자아이, 남자아이는 사람이에,Men, girls, girls, boys
요.,yo. this.
. 계속,.  continue
동물이에요.,It's an animal.
사람이에요.,It's a person.
동물들이에요.,Animals.
사람들이에요.,People.
이집트 사람들은 아랍어를 해요.,Egyptians do Arabic.
중국 사람들은 중국어를 해요.,Chinese people speak Chinese.
한국 사람들은 한국어를 해요.,Koreans speak Korean.
호주 사람들은 영어를 해요.,Australians speak English.
여자는 중국 사람이에요. 그리고 중국어를 해,Women are Chinese.  And speak Chinese
요.,yo. this.
이 동물은 중국에 살아요. 하지만 중국어를,This animal lives in China.  But speaking Chinese
못해요.,I can not.
남자는 호주 사람이에요. 그리고 영어를 해,Men are Australians.  And he speaks English
요.,yo. this.
이 동물은 호주에 살아요. 하지만 영어를 못,This animal lives in Australia.  But I can't speak English
해요.,do.
이 남자는 중국어를 해요.,This man speaks Chinese.
이 남자는 아랍어를 해요.,This man is Arabic.
이 남자는 영어를 해요.,This man speaks English.
이 아이는 한국어를 해요.,This child speaks Korean.
저는 중국어를 해요.,I speak Chinese.
저는 아랍어를 해요.,I do Arabic.
저는 영어를 해요.,I speak English.
저는 한국어를 해요.,I speak Korean.
아랍어를 하세요?,Do you speak Arabic?
네. 저는 아랍어를 해요.,yes.  I do Arabic.
중국어를 하세요?,Do you speak Chinese?
아니요. 저는 중국어를 못해요.,no.  I can't speak Chinese.
실례합니다. 중국어를 하세요?,Excuse me.  Do you speak Chinese?
아니요. 중국어를 못해요.,no.  I can't speak Chinese.
실례합니다. 중국어를 하세요?,Excuse me.  Do you speak Chinese?
네. 중국어를 해요.,yes.  I speak Chinese.
실례합니다.,Excuse me.
영어를 하세요?,Do you speak English?
네. 영어를 해요.,yes.  I speak English.
실례합니다.,Excuse me.
한국어를 하세요?,Do you speak Korean?
네. 한국어를 해요.,yes.  I speak Korean.
허리띠 열 개,Ten
십,ten
찻잔 스무 개,Twenty -cup
이십,Twenty
공 서른 개,Thirty balls
삼십,thirty
접시 마흔 개,Forty
사십,Fourty
넥타이 쉰 개,Tie
오십,fifty
모자 예순 개,Hat's sixty dog
육십,sixty
찻잔 스무 개,Twenty -cup
찻잔 스물한 개,Twenty -one
찻잔 스물두 개,Twenty -one
접시 스물세 개,Twenty -three
접시 스물네 개,Twenty -four dishes
접시 스물다섯 개,Twenty -five plates
그릇 서른네 개,Thirty
그릇 서른다섯 개,Thirty -five bowls
그릇 서른여섯 개,Thirty -six
접시 서른일곱 개,Thirty seven plates
접시 서른여덟 개,Thirty -eight plates
접시 서른아홉 개,Thirty -nine
사십사,Forty
사십오,Forty -five
사십육,Forty
사십칠,Forty years
사십팔,Forty arms
사십구,Forty
사십,Fourty
사십일,Forty days
사십이,Forty-two
사십삼,Thirty -three
사십사,Forty
사십오,Forty -five
사십육,Forty
사십칠,Forty years
사십팔,Forty arms
사십구,Forty
십,ten
이십,Twenty
삼십,thirty
사십,Fourty
오십,fifty
육십,sixty
몇 살이세요?,How old are you?
마흔다섯 살이에요.,I'm forty -five years old.
저분은 몇 살이세요?,How old are he?
서른 살이세요.,You are thirty years old.
몇 살이세요?,How old are you?
서른다섯 살이에요.,I'm thirty -five years old.
접시가 몇 개 있어요?,How many plates do you have?
스물네 개 있어요.,There are twenty -four dogs.
그릇이 몇 개 있어요?,How many bowls do you have?
마흔다섯 개 있어요.,There are five forty.
손님이 몇 명이에요?,How many guests are there?
서른 명이에요.,There are thirty people.
저는 영어를 가르쳐요.,I teach English.
남자가 아랍어를 가르쳐요.,The man teaches Arabic.
여자가 중국어를 가르쳐요.,The woman teaches Chinese.
한국어를 가르치세요?,Do you teach Korean?
남자가 아이들한테 아랍어를 가르쳐요.,The man teaches children to Arabic.
남자가 아이들한테 영어를 가르쳐요.,The man teaches the children English.
여자가 아이들한테 중국어를 가르쳐요.,The woman teaches her Chinese.
남자가 아이들한테 한국어를 가르쳐요.,The man teaches Korean to children.
저는 중국어를 공부해요.,I study Chinese.
남자가 아랍어를 공부해요.,The man studies Arabic.
아이들이 영어를 공부해요.,Children study English.
저희는 한국어를 공부해요.,We study Korean.
저는 영어를 가르쳐요.,I teach English.
아이들은 영어를 공부해요.,Children study English.
선생님은 아랍어를 가르치세요.,The teacher teaches Arabic.
저희는 아랍어를 공부해요.,We study Arabic.
누가 선생님이세요?,Who is your teacher?
이분이 저희 선생님이세요.,This is my teacher.
누가 선생님이세요?,Who is your teacher?
저분이 저희 선생님이세요.,He is my teacher.
저는 중국어를 가르쳐요.,I teach Chinese.
저희는 중국어를 공부해요.,We study Chinese.
저는 한국어를 가르쳐요.,I teach Korean.
저는 한국어를 공부해요.,I study Korean.
제 이름은 림이에요.,My name is Lim.
저는 아랍어를 해요. 하지만 영어를 공부해,I do Arabic.  But studying English
요.,yo. this.
저희 선생님이세요. 선생님 성함은 하다드예,You are our teacher.  Teacher's name is
요.,yo. this.
제 이름은 린이에요.,My name is Lin.
저희 부모님은 중국 사람이세요.,My parents are Chinese.
저희는 뉴욕에 살아요.,We live in New York.
저희 부모님은 영어를 못하세요.,My parents can't speak English.
저는 영어하고 중국어를 해요.,I speak English and speak Chinese.
저는 한국어를 공부해요.,I study Korean.
. 핵심 강좌,.  Core class
남자아이가 일어나요.,The boy wakes up.
남편이 아내를 깨워요.,My husband wakes up his wife.
남자가 친구를 깨워요.,The man wakes up his friend.
여자아이가 일어나요.,The girl wakes up.
남자아이가 일어나요.,The boy wakes up.
여자가 일어나요.,A woman wakes up.
여자아이가 일어나요.,The girl wakes up.
남자가 일어나요.,A man gets up.
할머니가 여자아이를 깨워요.,Grandma wakes up a girl.
여자가 일어나요.,A woman wakes up.
남자가 일어나요.,A man gets up.
아버지가 아이를 깨워요.,My father wakes up the child.
남자가 빨래를 해요.,The man is laundry.
여자가 빨래를 해요.,The woman is laundry.
남자아이가 설거지를 해요.,The boy is washing the dishes.
여자아이가 설거지를 해요.,The girl is washing the dishes.
저는 빨래를 해요.,I do laundry.
사람들이 설거지를 해요.,People are washing dishes.
남자가 빨래를 해요.,The man is laundry.
저는 손을 씻어요.,I wash my hands.
여자가 발을 씻어요.,The woman washes her feet.
남자가 손을 씻어요.,The man washes his hands.
여자가 머리를 감아요.,The woman washes her head.
저는 머리를 감아요.,I wash my head.
남자가 세수해요.,The man is washed away.
남자가 머리를 감아요.,The man washes his head.
여자아이가 설거지를 해요.,The girl is washing the dishes.
저는 빨래를 해요.,I do laundry.
여자아이가 손을 씻어요.,The girl washes her hands.
여자아이가 세수해요.,The girl is washed away.
여자가 세수해요.,The woman washes her face.
사람들의 얼굴이 보라색하고 노란색이에요.,People's face is purple and yellow.
공이 남자의 발 위에 있어요.,The ball is on the man's feet.
공이 남자의 손가락 위에 있어요.,The ball is on the man's finger.
공이 남자의 얼굴 위에 있어요.,The ball is on the man's face.
길이 젖어 있어요.,The road is wet.
티셔츠가 말라 있어요.,The t -shirt is dry.
개가 젖어 있어요.,The dog is wet.
고양이가 말라 있어요.,The cat is dry.
말들이 젖어 있어요.,The horses are wet.
말들이 말라 있어요.,The horses are dry.
여자의 머리가 젖어 있어요.,The woman's head is wet.
여자아이의 머리가 말라 있어요.,The girl's head is dry.
양말이 더러워요.,The socks are dirty.
셔츠가 깨끗해요.,The shirt is clean.
여자아이의 얼굴이 더러워요.,The girl's face is dirty.
남자의 얼굴이 깨끗해요.,The man's face is clean.
셔츠가 더러워요.,The shirt is dirty.
셔츠가 젖어 있어요.,The shirt is wet.
셔츠가 깨끗해요. 그리고 말라 있어요.,The shirt is clean.  And it's dry.
엄마가 어디에 계세요?,Where is your mom?
욕실에 계세요.,Be in the bathroom.
아빠가 어디에 계세요?,Where is your dad?
주방에 계세요.,Be in the kitchen.
왜 손을 씻으세요?,Why wash your hands?
더러워서 씻어요.,Wash it because it's dirty.
왜 스웨터를 입으셨어요?,Why did you wear a sweater?
추워서 입었어요.,I wore it because it was cold.
아빠가 왜 주방에 계세요?,Why is your dad in the kitchen?
요리를 해서 주방에 계세요.,Cook and stay in the kitchen.
왜 물을 마시세요?,Why do you drink water?
목이 말라서 마셔요.,Drink because you are thirsty.
왜 욕실에 계세요?,Why are you in the bathroom?
손을 씻어서 욕실에 있어요.,I wash my hands and in the bathroom.
왜 손을 씻으세요?,Why wash your hands?
더러워서 씻어요.,Wash it because it's dirty.
칫솔,toothbrush
칫솔,toothbrush
칫솔,toothbrush
치약,toothpaste
치약이,Toothpaste
빗빗빗,Bbitbit
비누,soap
비누,soap
수건,Towel
칫솔,toothbrush
치약이빗,Toothpaste
비누,soap
수건,Towel
여자가 머리를 빗어요.,The woman combs her head.
남자가 이를 닦아요.,The man wipes the teeth.
여자아이들이 머리를 빗어요.,Girls comb their heads.
남자아이들이 이를 닦아요.,Boys wipe their teeth.
저는 이를 닦아요.,I wipe my teeth.
여자아이는 머리를 빗어요.,The girl combs her head.
어머니하고 딸은 손을 씻어요.,My mother and daughter wash their hands.
남자아이는 이를 닦아요.,The boy wipes the teeth.
여자가 머리를 감아요.,The woman washes her head.
남자가 이를 닦아요.,The man wipes the teeth.
남자가 머리를 감아요.,The man washes his head.
여자가 머리를 빗어요.,The woman combs her head.
여자는 빗을 사요.,The woman buys a comb.
남자들은 비누로 손을 씻어요.,Men wash their hands with soap.
저는 칫솔로 이를 닦아요.,I wipe my teeth with a toothbrush.
어머니가 딸을 깨워요.,My mother wakes up her daughter.
딸이 머리를 빗어요.,My daughter combs her head.
여자아이의 오빠가 이를 닦아요.,The girl's brother wipes the teeth.
아버지가 세수해요.,My father washes my face.
저는 점심 먹기 전에 손을 씻어요.,I wash my hands before lunch.
저는 아침 먹은 후에 이를 닦아요.,I wipe my teeth after breakfast.
저는 저녁 먹은 후에 커피를 마셔요.,I drink coffee after dinner.
베개,Pillow
베개,Pillow
베개,Pillow
시트,Sheet
시트,Sheet
이불,blanket
시트,Sheet
베개,Pillow
이불,blanket
수건,Towel
저는 이불이 있어요.,I have a blanket.
시트가 침대 위에 있어요.,The sheet is on the bed.
고양이가 베개 위에 있어요.,The cat is on the pillow.
수건이 욕실 안에 있어요.,The towel is in the bathroom.
분홍색 시트가 깨끗해요.,The pink sheet is clean.
분홍색 베개가 깨끗해요.,The pink pillow is clean.
분홍색 이불이 깨끗해요.,The pink blanket is clean.
분홍색 수건이 깨끗해요.,The pink towel is clean.
왜 개 냄새가 안 좋아요?,Why does the dog smell bad?
더러워서 안 좋아요.,It's not good because it's dirty.
왜 시트 냄새가 좋아요?,Why do you like the smell of the sheet?
깨끗해서 좋아요.,It's good to be clean.
왜 사람들이 주방에 있어요?,Why are people in the kitchen?
설거지를 해서 주방에 있어요.,I wash dishes and are in the kitchen.
왜 사람들이 거실에 있어요?,Why are people in the living room?
텔레비전을 봐서 거실에 있어요.,I'm in the living room for watching television.
. 계속,.  continue
부모님이 거실에서 신문을 읽어요.,My parents read the newspaper in the living room.
여자가 방에서 자요.,A woman sleeps in the room.
여자아이가 방에서 책을 읽어요.,The girl reads a book in the room.
남자아이가 거실에서 자요.,The boy sleeps in the living room.
뭐 사세요?,What do you live?
꽃을 사요.,Buy flowers.
몇 송이를 사세요?,How many pieces do you buy?
아홉 송이를 사요.,I buy nine.
왜 꽃을 사세요?,Why buy flowers?
오늘 오후에 할머니를 만나러 가서 사요.,I go to see my grandmother this afternoon and buy it.
할머니가 어디에 사세요?,Where do my grandmother live?
뉴욕에 사세요.,Live in New York.
. 이정표,.  milestone
안녕하세요, 제인 씨?,Hello, Jane?
안녕하세요?,hello?
그릇이 몇 개 있어요?,How many bowls do you have?
두 개 있어요.,There are two.
점심을 밖에서 먹어요?,Do you have lunch outside?
아니요. 안에서 먹어요.,no.  Eat inside.
냄새가 좋아요?,Do you like the smell?
네. 냄새가 좋아요.,yes.  It smells good.
맛이 좋아요?,Is it good?
네. 맛이 좋아요.,yes.  It tastes good.
이게 뭐예요?,What's this?
밥이에요.,It's rice.
안녕하세요?,hello?
안녕하세요?,hello?
안녕하세요?,hello?
안녕하세요?,hello?
어떻게 지내세요?,how are you doing?
잘 지내요.,I'm doing great.
이분은 제 친구 애나 씨예요.,This is my friend Anna.
애나 씨는 러시아 사람이세요.,Anna is a Russian.
한국어를 하세요?,Do you speak Korean?
네. 한국어를 해요.,yes.  I speak Korean.
만나서 반갑습니다.,Nice to meet you.
만나서 반갑습니다.,Nice to meet you.
어디에서 일을 하세요?,Where do you work?
학교에서 일을 해요.,I work at school.
어디에서 일을 하세요?,Where do you work?
병원에서 일을 해요.,I work in the hospital.
축구를 하세요?,Do you play soccer?
네. 축구를 해요.,yes.  I play soccer.
축구를 하세요?,Do you play soccer?
네. 축구를 해요.,yes.  I play soccer.
언제 축구를 하세요?,When do you play soccer?
저녁에 해요.,Do it in the evening.
어디에서 축구를 하세요?,Where do you play soccer?
공원에서 축구를 해요.,I play soccer in the park.
안녕히 계세요.,good bye.
안녕히 가세요.,goodbye.
안녕히 계세요.,good bye.
안녕히 가세요.,goodbye.
어디에 계세요?,Where are you?
주방에 있어요.,It's in the kitchen.
뭐 하세요?,What are you doing?
설거지를 해요.,I wash the dishes.
왜 설거지를 하세요?,Why do you wash the dishes?
접시들이 더러워서 설거지를 해요.,The dishes are dirty, so I wash the dishes.
. 핵심 강좌,.  Core class
여자들은 우산이 있어요.,Women have an umbrella.
남자는 표가 있어요.,The man has a ticket.
여자는 선글라스가 있어요.,The woman has sunglasses.
남자들은 사다리가 있어요.,Men have a ladder.
우산,umbrella
표,graph
선글라스,sunglasses
사다리,ladder
남자는 사다리가 필요해요.,The man needs a ladder.
남자아이는 수건이 필요해요.,The boy needs a towel.
여자아이는 비누가 필요해요.,Girls need soap.
여자아이는 선글라스가 필요해요.,Girls need sunglasses.
여자는 돈이 필요해요.,The woman needs money.
남자는 돈이 있어요.,The man has money.
돈이 탁자 위에 있어요.,The money is on the table.
남자는 돈이 필요해요.,The man needs money.
여자는 돈이 있어요.,The woman has money.
남자는 우산이 필요해요.,The man needs an umbrella.
여자는 우산이 있어요.,The woman has an umbrella.
저는 선글라스가 있어요.,I have sunglasses.
저는 선글라스가 필요해요.,I need sunglasses.
표가 있으세요?,Do you have a ticket?
표가 필요하세요?,Do you need a ticket?
열쇠가 필요하세요?,Do you need a key?
네. 열쇠가 필요해요.,yes.  I need a key.
돈이 필요해요?,Do you need money?
네. 돈이 필요해요.,yes.  I need money.
보석,jewelry
보석,jewelry
보석,jewelry
옷,clothes
옷,clothes
장난감,toy
. 계속,.  continue
과일,fruit
과일,fruit
과일,fruit
야채,vegetable
야채,vegetable
고기,meat
고기,meat
야채,vegetable
과일,fruit
장난감,toy
옷,clothes
보석,jewelry
사람들이 고기를 사요.,People buy meat.
남자가 옷을 사요.,The man buys clothes.
여자가 장난감을 사요.,A woman bought a toy.
사람들이 야채를 사요.,People buy vegetables.
이 흰색 집은 오래된 집이에요.,This white house is an old house.
이 녹색 차는 새 차예요.,This green car is a new car.
이 책은 오래된 책이에요.,This book is an old book.
이 펜은 새 펜이에요.,This pen is a new pen.
이 검은색 차는 오래된 차예요.,This black car is an old car.
이 의자는 오래된 의자예요.,This chair is an old chair.
이 우산은 오래된 우산이에요.,This umbrella is an old umbrella.
이 스웨터는 오래된 스웨터예요.,This sweater is an old sweater.
오래된 텔레비전,Old television
새 텔레비전,New television
오래된 전화기,Old phone
새 전화기,New telephone
남자가 과일을 팔아요.,The man sells fruit.
남자가 차를 팔아요.,The man sells the car.
여자가 과일하고 야채를 팔아요.,The woman sells fruit and vegetables.
여자가 꽃을 팔아요.,The woman sells flowers.
여자가 오래된 모자를 팔아요.,The woman sells old hats.
여자가 오래된 차를 팔아요.,The woman sells old cars.
저는 새 우산을 팔아요.,I sell a new umbrella.
저는 새 차를 팔아요.,I sell a new car.
남자가 오래된 모자를 사요.,The man buys an old hat.
남자가 오래된 차를 사요.,A man buys old cars.
저는 새 우산을 사요.,I buy a new umbrella.
저는 새 차를 사요.,I buy a new car.
이 가게는 오래된 보석을 팔아요.,This store sells old gems.
이 가게는 새 보석을 팔아요.,This store sells new jewels.
이 가게는 오래된 책을 팔아요.,This store sells old books.
이 가게는 새 책을 팔아요.,This store sells a new book.
슈퍼마켓,supermarket
슈퍼마켓,supermarket
슈퍼마켓,supermarket
철물점,Hardware
철물점,Hardware
금은방,Gold silver room
슈퍼마켓,supermarket
철물점,Hardware
금은방,Gold silver room
사람들이 슈퍼마켓에서 쇼핑해요.,People are shopping at the supermarket.
